Vehicle Body Type,Plate Type,Registration State,Vehicle Color,Vehicle Year,Vehicle Make
SUBN,PAS,NY,BLACK,2005,BMW
SUBN,PAS,NY,BLACK,2014,ME/BE
SDN,PAS,NY,GREY,2017,HYUND
SDN,PAS,NY,BLUE,2010,HYUND
SDN,PAS,NY,GREY,2015,INFIN
SUBN,PAS,NY,OTHER,2016,CHEVR
SUBN,PAS,NY,BLUE,2005,TOYOT
SDN,PAS,NY,SILVER,2010,HONDA
SUBN,PAS,NY,BLACK,2014,AUDI
SUBN,PAS,NY,GREY,2007,HONDA
SUBN,PAS,NY,GREY,2005,MERCU
SDN,PAS,NY,TAN,1999,LEXUS
SUBN,PAS,NY,SILVER,2007,HONDA
SUBN,PAS,NY,BLUE,2006,JEEP
SUBN,PAS,NY,BLACK,2011,ME/BE
SDN,PAS,NY,BLACK,1998,TOYOT
P-U,PAS,NY,BLACK,2012,FORD
SDN,PAS,NY,GREY,2004,HONDA
SUBN,PAS,NY,OTHER,2015,ME/BE
SUBN,PAS,NY,OTHER,2014,FORD
SUBN,PAS,NY,BLACK,2017,FORD
SUBN,PAS,NY,GREY,2005,DODGE
CONV,PAS,NY,BLACK,2015,PORSC
SUBN,PAS,NY,GREY,2012,BMW
SUBN,PAS,NY,GREEN,2022,CADIL
P-U,PAS,NY,BLACK,2016,NISSA
SDN,PAS,NY,OTHER,2017,TOYOT
SUBN,PAS,NY,GREY,2016,NISSA
SDN,PAS,NY,GREY,2015,NISSA
SDN,PAS,NY,GREY,2012,NISSA
SDN,PAS,NY,BLACK,2007,BMW
VAN,PAS,NY,GREEN,1998,HONDA
SDN,PAS,NY,SILVER,2004,TOYOT
SDN,PAS,NY,OTHER,1994,MAZDA
SUBN,PAS,NY,OTHER,2007,CADIL
SDN,PAS,NY,BLACK,2006,AUDI
SDN,PAS,NY,GREY,2010,DODGE
SDN,PAS,NY,BLACK,2013,HONDA
SDN,PAS,NY,SILVER,2018,ACURA
SDN,PAS,NY,SILVER,2008,DODGE
SDN,PAS,NY,OTHER,2015,TOYOT
SDN,PAS,NY,GREY,2004,TOYOT
SDN,PAS,NY,GREY,2010,HONDA
SDN,PAS,NY,GREY,2008,TOYOT
SDN,PAS,NY,RED,2007,LEXUS
SDN,PAS,NY,GREY,2014,DODGE
SDN,PAS,NY,BLACK,2001,NISSA
SUBN,PAS,NY,RED,2004,TOYOT
SDN,PAS,NY,OTHER,2015,LEXUS
SDN,PAS,NY,GREY,2013,VOLKS
SDN,PAS,NY,OTHER,2015,NISSA
,PAS,NY,GREY,2015,LEXUS
SDN,PAS,PA,BLACK,2014,AUDI
SDN,PAS,NY,SILVER,2001,TOYOT
SDN,PAS,NY,SILVER,2005,INFIN
SDN,PAS,NY,GREY,2009,CHEVR
SUBN,PAS,NY,BROWN,2013,CHRYS
SDN,PAS,NY,BLUE,1997,BMW
SDN,PAS,NY,BLUE,2012,HYUND
SUBN,PAS,NY,RED,2016,JEEP
SDN,PAS,NY,OTHER,2016,CHEVR
SDN,PAS,NY,OTHER,2013,
SDN,PAS,NY,GREY,2013,FORD
SDN,PAS,NY,BLACK,2005,NISSA
SDN,PAS,NY,BLACK,2004,KIA
SDN,PAS,NY,RED,1997,TOYOT
SDN,PAS,NY,BLACK,2014,HYUND
SUBN,PAS,NY,OTHER,2004,JEEP
SUBN,PAS,NY,BLUE,2007,HONDA
SDN,PAS,NY,BLACK,2010,NISSA
SUBN,PAS,NY,RED,1999,FORD
SUBN,PAS,NY,GREY,2004,BMW
