Issuer Code,Issuer Precinct,Issuing Agency,Issuer Command
358595,109,P,0109
979814,0,S,MN08
503280,0,S,QE14
505280,0,S,QE11
161461,1,K,0001
160638,1,K,0001
160347,1,K,0001
160347,1,P,0001
160178,1,K,0001
160507,1,K,0001
160507,7,K,0007
161461,1,P,0001
160638,1,P,0001
928404,102,P,0102
948629,102,P,0102
959718,102,P,0102
959715,102,P,0102
958471,102,P,0102
957575,102,P,0102
956596,105,P,0105
930305,105,P,0105
929832,105,P,0105
934238,105,P,0105
949124,105,P,0105
959901,105,P,0105
959901,105,P,O105
961304,105,P,0105
957743,105,P,0105
898774,105,P,0105
598774,105,P,0105
926140,105,P,0105
942520,105,P,0105
961322,105,P,0105
961324,105,P,0105
953450,105,P,0105
928760,105,P,0105
935609,105,P,0105
948752,102,P,0102
931865,105,P,0105
931868,105,P,0105
915643,105,P,0105
961001,105,P,0105
952171,105,P,0105
949775,105,P,0105
957568,105,P,0105
917655,105,P,0105
935609,106,P,0106
943147,105,P,0105
943177,105,P,0105
943149,105,P,0105
160456,1,P,0001
931002,105,P,0105
956229,103,P,0103
956224,103,P,0103
957740,105,P,0105
951049,105,P,0105
957841,105,P,0105
928391,105,P,0105
958966,105,P,0105
955730,105,P,0105
958810,108,P,0108
958810,105,P,0105
954712,105,P,0105
954711,105,P,0105
959712,105,P,0105
936662,105,P,0105
956076,105,P,0105
2817,968,P,0968
867880,968,X,0968
2947,968,X,0968
235707,968,X,0968
103205,968,X,0968
1309,968,P,0968
215005,968,P,0968
389464,977,X,0977
582095,977,X,0977
947077,977,X,0977
161483,1,P,0001
160507,1,P,0001
160170,1,K,0001
160285,1,P,0001
160633,1,P,0001
160626,1,K,0001
160626,1,P,0001
160695,1,K,0001
160695,1,P,0001
160579,5,P,0005
160579,5,K,0005
160674,5,K,0005
160098,65,P,0065
160098,5,K,0005
160098,5,P,0005
160324,5,K,0005
160324,5,P,0005
160250,5,K,0005
160230,5,K,0005
447895,977,X,0977
922117,977,X,0977
668907,977,X,0977
828296,977,X,0977
569012,972,X,0972
569012,977,X,0977
622660,977,X,0977
627890,977,X,0977
160644,5,K,0005
160170,5,K,0005
160250,5,P,0005
160250,45,P,0045
160645,5,K,0005
160098,8,K,0008
168898,5,K,0005
160298,5,K,0005
947077,972,X,0972
920709,44,P,0044
957610,50,P,0050
951360,163,P,0163
957202,46,P,0046
959425,122,P,0122
946703,121,P,0121
944499,123,P,0123
952636,122,P,0122
951007,122,P,0122
0,642,P,0642
47205,642,P,0642
44977,302,P,0302
47911,302,P,0302
47820,302,P,0302
44911,302,P,0302
47263,642,P,0642
260098,65,P,0065
160098,4,K,0004
160497,5,K,0005
160416,2,K,0002
160416,2,P,0002
160921,2,P,0002
160483,2,K,0002
160544,2,K,0002
160549,2,K,0002
160278,2,K,0002
160278,2,P,0002
952298,102,P,0102
160352,2,K,0002
160352,2,P,0002
160295,2,K,0002
160112,2,K,0002
160696,2,P,0002
160906,1,K,0001
161275,2,P,0002
161275,2,K,0002
160679,2,K,0002
160679,2,P,0002
160357,2,K,0002
45408,462,P,0462
47710,642,P,0642
47399,642,P,0642
47948,642,P,0642
39179,642,P,0642
47724,642,P,0642
47919,642,P,0642
47414,642,P,0642
47336,642,P,0642
45323,0,P,0JFK
954552,73,P,0073
955021,107,P,0107
935292,107,P,0107
925466,107,P,0107
954918,107,P,0107
959359,107,P,0107
941410,107,P,0107
960986,107,P,0107
929589,107,P,0107
959069,107,P,0107
943955,17,P,0017
954060,113,P,0113
954611,113,P,0113
939983,103,P,0103
939453,103,P,0103
949272,102,P,0102
947203,106,P,0106
954292,100,P,0100
955995,100,P,0100
985561,100,P,0100
956322,100,P,0100
961482,100,P,0100
959026,100,P,0100
975753,101,P,0101
953627,103,P,0103
960456,103,P,0103
955867,103,P,0103
959271,103,P,0103
956169,103,P,0103
950166,103,P,0103
960598,103,P,0103
917363,103,P,0103
160290,2,K,0002
160196,2,P,0002
161495,2,K,0002
161207,3,K,0003
160338,3,K,0003
160228,3,P,0003
160466,1,K,0001
160656,1,K,0001
160693,4,K,0004
160199,4,P,0004
805084,0,P,COOP
107703,0,P,COOP
109997,0,P,COOP
105989,0,P,COOP
105989,0,X,CCPD
0,868,D,0868
0,868,X,0868
103975,868,X,0868
520120,868,X,0868
958123,41,P,0041
955313,41,P,0041
65313,41,P,0041
455313,41,P,0041
948892,46,P,0046
951938,41,P,0041
955485,163,P,0163
925495,50,P,0050
950720,40,P,0040
941789,103,P,0103
903618,103,P,0103
958230,103,P,0103
958232,103,P,0103
0,103,P,0103
949338,103,P,0103
951245,103,P,0103
942343,103,P,0103
946225,101,P,0101
960749,101,P,0101
951709,0,P,0000
955752,101,P,0101
943419,101,P,0101
960472,101,P,0101
937879,101,P,0101
950434,101,P,0101
941597,101,P,0101
929969,101,P,0101
953530,101,P,0101
952167,101,P,0101
954196,101,P,0101
954543,100,P,0100
961086,100,P,0100
944856,48,P,0048
955908,47,P,0047
936403,108,P,0108
951042,108,P,0108
960338,108,P,0108
938291,108,P,0108
950011,108,P,0108
994287,837,X,0837
955776,79,P,0079
947337,75,P,0075
954401,77,P,0077
954537,75,P,0075
955497,75,P,0075
950630,77,P,0077
955215,75,P,0075
949707,483,P,0483
949067,34,P,0034
925006,78,P,0078
519045,0,X,0HPW
519045,0,X,0HPN
519045,0,P,0HPW
45362,822,P,0822
47474,642,P,0642
45352,0,P,0JFK
47838,302,P,0302
44419,822,P,0822
951367,100,P,0100
956234,100,P,0100
919818,208,P,0208
958256,101,P,0101
954973,107,P,O107
956629,101,P,0101
959115,75,P,0075
942336,123,P,0123
949827,123,P,0123
960601,123,P,0123
938483,122,P,0122
957914,804,P,0804
959513,804,P,0804
962388,804,P,0804
962703,804,P,0804
943431,804,P,0804
939348,0,P,PSA4
954205,804,P,0804
954799,805,P,0805
962799,805,P,0805
962870,805,P,0805
952203,806,P,0806
938022,111,P,0111
961179,806,P,0806
959131,806,P,0806
949116,806,P,0806
952593,806,P,0806
960002,806,P,0806
951216,806,P,0806
942597,163,P,0163
950654,163,P,0163
949233,48,P,0048
952266,43,P,0043
952266,45,P,0045
957358,63,P,0063
957356,62,P,0062
959173,63,P,0063
47828,642,P,0642
947928,642,P,0642
47204,642,P,0642
47910,642,P,0642
959742,803,P,0803
959821,803,P,0803
0,0,P,P57O
958473,803,P,0803
953545,803,P,0803
952878,803,P,0803
956335,821,P,0821
956335,824,P,0824
955907,824,P,0824
956556,801,P,0801
957488,824,P,0824
959186,824,P,0824
961853,803,P,0803
960563,0,P,PSA3
958164,803,P,0803
957704,0,P,P5A3
957704,0,P,PSA3
941739,803,P,0803
954944,803,P,0803
950892,75,P,0075
950387,878,P,0878
93930,993,X,0993
589381,0,S,KSBO
956868,71,P,0071
956289,71,P,0071
955802,71,P,0071
941623,71,P,0071
944851,71,P,0071
956138,71,P,0071
948852,63,P,0063
948576,69,P,0069
957686,120,P,0120
946769,120,P,0120
957382,120,P,0120
939987,120,P,0120
939997,120,P,0120
959346,120,P,0120
958794,120,P,0120
959323,120,P,0120
958822,120,P,0120
931851,62,P,0062
959428,73,P,0073
945221,808,P,0808
944148,808,P,0808
949817,102,P,0102
950003,102,P,0102
940564,101,P,0101
950143,101,P,0101
957606,101,P,0101
961440,101,P,0101
940915,101,P,0101
950516,101,P,0101
960516,101,P,0101
949065,101,P,0101
931488,101,P,0101
944676,101,P,0101
961326,101,P,0101
958378,101,P,0101
951023,101,P,0101
950580,101,P,0101
953946,101,P,0101
956216,101,P,0101
955315,101,P,0101
954800,101,P,0101
957016,101,P,0101
949824,101,P,0101
959112,101,P,0101
944591,101,P,0101
954388,101,P,0101
956405,101,P,0101
961465,101,P,0101
961293,101,P,0101
958575,120,P,0120
959339,120,P,0120
959604,120,P,0120
959624,120,P,0120
959757,120,P,0120
953518,120,P,0120
953072,120,P,0120
961391,120,P,0120
960199,120,P,0120
956222,62,P,0062
952086,120,P,0120
961528,120,P,0120
955795,120,P,0120
958092,120,P,0120
957040,120,P,0120
960120,120,P,0120
961200,120,P,0120
957923,120,P,0120
962150,120,P,0120
944359,120,P,0120
957407,120,P,0120
942227,120,P,0120
961466,120,P,0120
931000,120,P,0120
962657,120,P,0120
566734,2,X,0002
957322,81,P,0081
959213,81,P,0081
645428,1,X,0001
996227,1,P,0001
959067,101,P,0101
955214,101,P,0101
956392,101,P,0101
960474,101,P,0101
957895,113,P,0113
953691,113,P,0113
937622,101,P,0101
956632,101,P,0101
952839,103,P,0103
950642,103,P,0103
950672,103,P,0103
956228,103,P,0103
956171,103,P,0103
955909,103,P,0103
100322,976,H,0976
106281,976,H,0976
100135,976,H,0976
100237,976,X,0976
919821,0,F,LI38
2613,968,X,0968
919492,875,P,0875
0,0,X,BXFC
103418,968,M,0968
735697,968,X,0968
103193,968,X,0968
103196,968,X,0968
0,0,C,NYSC
349567,0,P,BXTP
919091,96,F,5096
0,0,X,00C6
937937,43,P,0043
953734,805,P,0805
939825,1,P,0001
349574,0,P,BTPU
338558,730,P,T730
100995,14,X,0014
101436,976,X,0976
953058,0,P,PSA2
922651,153,F,7153
919186,276,F,E276
0,0,F,LI54
0,0,X,0000
901557,165,P,0165
160688,3,K,0003
100029,976,X,0976
950510,103,P,0103
950516,103,P,0103
951430,103,P,0103
958173,113,P,0113
959519,113,P,0113
952342,113,P,0113
961362,113,P,0113
954705,113,P,0113
954725,113,P,0113
927249,113,P,0113
952072,106,P,0106
952072,0,P,01O6
901021,106,P,0106
961795,106,P,0106
937264,106,P,0106
937204,106,P,0106
961763,106,P,0106
946845,106,P,0106
939961,106,P,0106
959725,106,P,0106
961757,106,P,0106
961752,106,P,0106
957529,106,P,0106
958672,106,P,0106
958632,100,P,0100
957492,106,P,0106
949628,106,P,0106
949638,106,P,0106
940572,106,P,0106
933620,100,P,0100
949928,0,P,01O0
949928,100,P,0100
949928,0,P,O10O
935301,100,P,0100
957607,100,P,0100
955900,103,P,0103
959421,100,P,0100
955934,100,P,0100
0,100,P,0100
960663,100,P,0100
943219,100,P,0100
536320,0,B,0BWB
0,0,C,0AD2
0,0,X,0KCV
0,0,X,0MSC
0,0,X,BCHJ
950424,44,P,0044
928499,90,P,0090
921662,90,P,0090
958714,90,P,0090
957580,90,P,0090
941927,90,P,0090
953384,90,P,0090
573309,7,P,0007
101841,7,P,0007
0,7,P,0007
618474,7,P,0007
941917,94,P,0094
940307,88,P,0088
338793,720,P,T720
345532,0,P,QTPU
953576,67,P,0067
933410,67,P,0067
957481,100,P,0100
958658,100,P,0100
948014,100,P,0100
937135,100,P,0100
937565,100,P,0100
960931,100,P,0100
946327,100,P,0100
961649,100,P,0100
958709,100,P,0100
954038,100,P,0100
933471,100,P,0100
943891,100,P,0100
941019,100,P,0100
950634,69,P,0069
957091,69,P,0069
