Violation location,unique county,street name,Intersecting Street,Violation Precinct,key
108,QUEENS,EASTSIDE,SKILLMAN SOUTH,108,1
19,MANHATTAN,E 87 ST,,19,2
111,QUEENS,70 AVE,,111,3
111,QUEENS,242 ST,,111,4
25,MANHATTAN,HELLS GATE CIRCLE,,25,5
25,MANHATTAN,RANDALLS ISLAND PARK,,25,6
25,MANHATTAN,RANDALLS ISLAND,SUNKEN MEADOW LOOP,25,7
25,MANHATTAN,SUNKEN MEADOW LOOP,,25,8
25,MANHATTAN,RANDALLS ISLAND,EAST RIVER LN FLD 83,25,9
25,MANHATTAN,RANDALLS ISLAND,EAST RIVER LN FLD 81,25,10
25,MANHATTAN,RANDALLS ISLAND,WADS MEADOW LOOP,25,11
25,MANHATTAN,RANDALLS ISLAND,EAST RIVER LANE FIEL,25,12
25,MANHATTAN,WARDS MEADOW LOOP,,25,13
25,MANHATTAN,RANDALLS ISLAND FIEL,,25,14
25,MANHATTAN,HELLGATE CIRCLE,RANDALLS ISLAND,25,15
25,MANHATTAN,RANDALLS ISLAND,WARDS MEADOW LOOP,25,16
25,MANHATTAN,RANDALLS ISLAND,PARKING LOT J,25,17
25,MANHATTAN,RANDALLS ISLAND LOT,,25,18
25,MANHATTAN,EAST RIVER LANE,,25,19
25,MANHATTAN,RANDALLS ISLAND,EAST RIVER LN FLD 82,25,20
25,MANHATTAN,RANDALLS ISLAND,EAST RIVER LAND FIEL,25,21
102,QUEENS,84 ST,,102,22
102,QUEENS,127 ST,,102,23
102,QUEENS,113 ST,103 AVE,102,24
102,QUEENS,117 ST,,102,25
102,QUEENS,111 ST,,102,26
102,QUEENS,95 AVE,91 ST,102,27
102,QUEENS,102 AVE,,102,28
102,QUEENS,76 ST,,102,29
105,QUEENS,222 ST,,105,30
105,QUEENS,145 AVE,,105,31
105,QUEENS,149 AVE,257 ST,105,32
105,QUEENS,209 PL,,105,33
105,QUEENS,212 ST,JAMAICA AVE,105,34
105,QUEENS,228 ST,,105,35
105,QUEENS,232 ST,,105,36
105,QUEENS,ROCKAWAY BLVD,,105,37
105,QUEENS,CRAFT AVE,258 ST,105,38
105,QUEENS,HURLEY ST,253 ST,105,39
